age,sex,outcome,fever,malaise,headache,chills,cough,fatigue,syms_hosp,syms_conf
50,1,1,1,0,1,0,0,1,0,13
44,1,1,1,0,0,0,0,1,0,6
29,2,1,0,0,0,0,0,0,0,1
39,2,2,1,0,0,0,1,0,0,1
39,1,1,1,0,0,0,0,0,4,6
46,2,1,1,0,0,0,0,0,13,17
30,1,1,1,0,0,1,1,1,1,1
31,2,1,1,0,0,1,1,0,5,5
40,2,1,1,0,0,0,0,0,6,10
30,2,1,1,0,0,0,1,0,7,12
32,2,1,1,0,0,0,1,0,4,15
55,2,1,1,0,0,0,0,0,13,14
66,2,1,0,0,0,0,0,0,5,6
28,2,1,0,0,0,0,0,0,2,3
56,2,1,0,0,0,0,0,0,1,3
50,1,1,1,0,0,0,0,0,0,4
45,1,1,0,0,0,0,0,0,3,9
31,2,1,0,0,0,0,0,0,2,2
47,1,1,0,0,0,0,0,0,0,1
73,2,1,0,0,0,0,0,0,5,7
25,1,1,1,0,0,0,1,0,9,13
26,1,1,0,0,0,0,0,0,0,7
31,1,1,0,0,0,0,0,0,1,2
73,1,2,1,0,0,0,0,0,3,5
20,1,1,0,0,0,0,0,0,0,7
52,1,3,0,0,0,0,0,0,2,11
47,1,3,0,0,0,0,0,0,3,9
54,2,3,0,0,0,0,0,0,1,4
50,2,3,0,0,0,0,0,0,0,3
35,1,3,0,0,0,0,0,0,6,9
37,1,3,0,0,0,0,0,0,0,6
24,2,3,0,0,0,0,0,0,0,7
50,1,3,0,0,0,0,0,0,1,5
76,1,3,0,0,0,0,0,0,0,7
38,2,3,0,0,0,0,0,0,1,5
28,1,1,1,0,0,0,0,0,5,5
32,1,1,0,0,0,0,0,0,4,5
49,1,1,0,0,0,0,1,0,1,3
27,2,1,0,0,0,0,0,0,16,16
53,2,1,0,0,0,0,0,0,9,14
65,2,3,0,0,0,0,0,0,0,4
21,2,3,0,0,0,0,0,0,1,10
64,1,3,0,0,0,0,0,0,1,7
63,2,3,0,0,0,0,0,0,1,7
39,2,3,0,0,0,0,0,0,2,4
71,2,3,0,0,0,0,0,0,0,4
27,1,3,0,0,0,0,0,0,6,10
42,2,3,0,0,0,0,0,0,1,8
1,1,1,0,0,0,0,0,0,8,9
67,1,3,1,0,0,1,1,0,12,13
37,2,3,1,0,0,0,0,0,4,5
55,1,1,1,0,1,0,0,0,0,5
51,2,1,0,0,0,0,0,0,8,10
35,2,1,0,0,0,0,0,0,4,5
34,2,1,0,0,0,0,0,0,9,10
46,2,1,0,0,0,0,0,0,7,8
83,1,2,0,0,0,0,0,1,10,22
61,2,1,1,0,0,0,0,0,5,7
44,1,1,0,0,0,0,0,0,3,5
74,2,4,0,0,0,0,0,0,5,13
40,2,1,0,0,0,0,0,0,4,5
62,2,2,0,0,0,0,1,0,7,19
43,2,1,0,0,0,0,0,0,5,6
58,1,1,0,0,0,0,0,0,26,30
26,2,1,0,0,0,0,0,0,3,4
40,2,1,0,0,0,0,0,0,4,5
43,2,1,0,0,0,0,0,0,5,6
29,2,1,0,0,0,0,0,0,3,3
35,2,1,0,0,0,0,0,0,2,7
30,1,1,0,0,0,0,0,0,5,5
58,1,1,0,0,0,0,0,0,26,30
38,2,1,0,0,0,0,0,0,8,9
68,1,1,0,0,0,0,0,0,11,14
24,2,1,0,0,0,0,0,0,0,1
50,1,1,1,0,1,0,0,1,0,13
44,1,1,1,0,0,0,0,1,0,6
39,1,1,1,0,0,0,0,0,4,6
46,2,1,1,0,0,0,0,0,13,17
40,2,1,1,0,0,0,0,0,6,10
30,2,1,1,0,0,0,1,0,7,12
32,2,1,1,0,0,0,1,0,4,15
66,2,1,1,0,0,0,1,0,1,2
56,2,1,0,0,0,0,0,0,1,3
50,1,1,1,0,0,0,0,0,0,4
20,1,1,0,0,0,0,0,0,0,7
32,1,1,0,0,0,0,0,0,4,5
1,1,1,0,0,0,0,0,0,8,9
53,2,1,0,0,0,0,0,0,7,8
52,1,1,0,0,0,0,0,0,4,5
51,2,1,0,0,0,0,0,0,8,10
30,1,1,1,0,0,1,1,1,1,1
31,2,1,1,0,0,1,1,0,5,5
24,1,1,0,0,0,0,0,0,0,7
27,2,1,0,0,0,0,0,0,16,16
73,2,4,0,0,0,0,0,0,5,13
52,1,3,0,0,0,0,0,0,2,11
47,1,3,0,0,0,0,0,0,3,9
54,2,3,0,0,0,0,0,0,1,4
50,2,3,0,0,0,0,0,0,0,3
35,1,3,0,0,0,0,0,0,6,9
37,1,3,0,0,0,0,0,0,0,6
24,2,3,0,0,0,0,0,0,0,7
50,1,3,0,0,0,0,0,0,1,5
76,1,3,0,0,0,0,0,0,0,7
38,2,3,0,0,0,0,0,0,1,5
65,2,3,0,0,0,0,0,0,0,4
21,2,3,0,0,0,0,0,0,1,10
64,1,3,0,0,0,0,0,0,1,7
63,2,3,0,0,0,0,0,0,1,7
39,2,3,0,0,0,0,0,0,2,4
71,2,3,0,0,0,0,0,0,0,4
27,1,3,0,0,0,0,0,0,6,10
42,2,3,0,0,0,0,0,0,1,8
67,1,3,1,0,0,1,1,0,12,13
37,2,3,1,0,0,0,0,0,4,5
39,2,2,1,0,0,0,1,0,0,1
45,1,3,0,0,0,0,0,0,3,9
73,1,2,1,0,0,0,0,0,3,5
29,2,1,0,0,0,0,0,0,0,1
61,2,1,1,0,0,0,1,0,1,2
32,2,1,1,0,1,0,1,0,1,1
55,2,1,1,0,0,0,0,0,13,14
66,2,1,0,0,0,0,0,0,5,6
28,2,1,0,0,0,0,0,0,2,3
56,1,1,0,0,0,0,0,0,2,3
56,2,1,0,0,0,0,0,0,1,2
86,1,2,0,0,0,0,0,1,10,22
31,2,1,0,0,0,0,0,0,2,2
47,1,1,0,0,0,0,0,0,0,1
38,2,1,0,0,0,0,0,0,6,8
73,2,1,0,0,0,0,0,0,5,7
64,2,2,0,0,0,0,1,0,7,19
25,1,1,1,0,0,0,1,0,9,13
31,1,1,0,0,0,0,0,0,1,2
42,1,1,1,0,0,0,1,0,2,10
28,1,1,1,0,0,0,0,0,5,5
48,1,1,0,0,0,0,0,0,9,9
44,1,1,0,0,0,0,0,0,1,1
49,1,1,0,0,0,0,1,0,1,3
20,1,1,0,0,0,0,0,0,0,9
53,2,1,0,0,0,0,0,0,9,14
